"Client_ID","Company_Name","Company_Abbreviation","Active","Shipping_Account","UPS_Account","Contact_First_Name","Contact_Last_Name","Address","Address1","City","State","Zip","Country","Telephone","URL","Email","Upload_Path","Pixami_ID","URL_Notifications","URL_Notifications_Staging","Delimiter","Order_Check","Has_Header","Header_Check","Customer_Fields","Order_Fields","Pages_Path","Cover_Path","Rename_Images","Product_Alias","Product_Default","Cover_Alias","Cover_Default","Pages_As_Cover","Products_Fields","Cover_Fields","Order_Options","Product_Options","Has_Implicits","Implicit_Product_Options_Fields","Cover_Options","Logo_Placement","Payment_Terms","Auto_Invoice_Interval","Product_Cost","Product_Base_Labor","Product_Number_Pages_Included","Product_Extra_Page_Profit_Margin","Product_Option_Cost","Product_Profit_Margin","Product_Discount","Cover_Cost","Cover_Profit_Margin","Cover_Option_Cost","Order_Option_Cost","Ship_Handling_Fee","Ship_Handling_Rate","Ship_Packaging_Fee","Salt","shippment_type","cutoff_time"
"0065","Heritage Makers","HM","0","Heritage Makers","E0R306","Steve","Oliphant","391 West 700 South",,"Pleasant Grove","UT","84062","US","8014378023","https://www.heritagemakers.com/","soliphant@heritagemakers.com","HeritageMakers",,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","chFwd4NP","tp","23:59:59"
"0068","Story Rock","STRK","1","StoryRock","19X31W","CUSTOMER SERVICE","CUSTOMER SERVICE","474 Bearcat Drive",,"Salt Lake City","UT","84115","US",,,,"StoryRock",,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","b1gd0td1r3ct","tp","23:59:59"
"0069","CHAT BOOKS","CHBK","1","Chatbooks","6A35E3","Order","Fulfillment","4100 N Chapel Ridge Road","Suite #350","Lehi","Ut","84043","United States","8888888888",,"todd.kirby@chatbooks.com>","ChatBooks",,"http://print.chatbooks.com/api/shipments/statuses","https://printdev.chatbooks.com/api/shipments/statuses",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","rXcV8VQPeFvE7fPx","tp","23:59:59"
"0070","Mindful Prints","MDPT","0",,"770A63",,,"7310 W 52nd Ave #392",,"Arvada","CO","80002","USA",,,,"MindfulPrints",,"https://api.mindfulprints.com/callback","http://selk.mynetgear.com:8888/callback",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","rXcV8VQPeFvE7fPx","tp","23:59:59"
"0071","KISS Books","KISS","0",,,,,,,,,,,,,,"KISS",,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","ZcBY93qEtiGb4bVd","sh","23:59:59"
"0072","My Life Photobooks","MLPB","0","MLPB","Y24323","Customer","Service","5245 Rockingham Ct.",,"Windsor","CO","80550","US",,,,"MyLifePhotoBooks",,"https://q521398qd5.execute-api.us-east-1.amazonaws.com","https://q521398qd5.execute-api.us-east-1.amazonaws.com",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","ZcBY93qEtiGb4bVd","tp","23:59:59"
"0073","My Hero Journey","MYHJ","0","MyHeroJourney","9F643F","Customer","Service","462 E 800 N",,"Orem","Ut","84097",,,,,"MyHeroJourney",,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","ZcBY93qEtiGb4bVd","tp","23:59:59"
"0074","Bookemon","BKMN","0","Bookemon","Y9087F","Customer","Service","10080 N. Wolfe Rd. STE SW3-200",,"Cupertino","CA","95014","US","8888888888",,"support@bookemon.com","Bookemon",,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","rXcV8VQPeFvE7fPx","tp","23:59:59"
"0075","Mixam Inc.","MIXM","1","Mixam","A7R941","Mixam Inc.",,"1 N Wacker DR ","STE 2410 ","Chicago","IL","60606","US","8885101456","https://mixam.com/","team@mixam.com","Mixam",,"https://mixam.com/api/webhooks/<supplier.token>/shipment",,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","rXcV8VQPeFvE7fPx","sh","17:00:00"
"0076","Entourage Yearbooks","ETYB","1",,,,,"39 Everett Drive","Princeton Junction","New Jersey","NJ","08550","US","888-926-65",,"help@entourageyearbooks.com","Entourage",,"https://partners.entourageyearbooks.com/partners/VendorCallbackHandler.asp","https://stage-partners.entourageyearbooks.com/partners/VendorCallbackHandler.asp",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","tgj948348954j9334","sh","17:00:00"
"0077","Artifact Uprising",,"0",,,"Customer","Service","616 Stout St","Suite 200","Denver","CO",,,,,,,,,,NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0",,"sh","17:00:00"
"0078","Picaboo Yearbooks","PCBO","1",,,,,"39 Everett Drive",,"Princeton Junction","NJ","08550","US","555-555-55",,"help@picabooyearbooks.com","Entourage",,"https://stage-partners.entourageyearbooks.com/partners/VendorCallbackHandler.asp","https://stage-partners.entourageyearbooks.com/partners/VendorCallbackHandler.asp",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0",,"sh","17:00:00"
"0079","BigdotDirect ","BGDT","1",,,"Jim","Wright","1890 S Milestone Dr., Suite B",,"Salt Lake City","UT","84104","US","8015551234","bigdotdirect.com","support@bigdotdirect.com","Bigdot",,,,,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0",,"sh","17:00:00"
